Titulo,Empresa,Local,Data,Categoria
NOVA LOJA no Lumiar - Director (M/F) para Gestão de Equipa zonas do Lumiar e Amadora),SOSIMEGUI SOCIEDADE DE MEDIAÇÃO IMOBILIARIA LDA,Lisboa,12-9-2024,Imobiliário
Recruta-se Consultora/Comercial c/ Experiência para clinica Depilconcept Loures (Infantado),Depilconcept Infantado,Lisboa,12-9-2024,Comercial / Vendas
Farmacêutico/a,Farmacia Almeida Sousa,Coimbra,12-9-2024,Farmácia / Biotecnologia
Empregado/a para grelhador para restaurante,Doca Real Lda,Setubal,12-9-2024,Restauração / Bares / Pastelarias
Consultor(a) Júnior  Projetos de Investimento PT2030 - PRR,"Mr Project - Consultores de Gestão, Lda",Porto,12-9-2024,Gestão de Empresas / Economia
Técnico de Máquinas de Café (m/f),"Normanvi  Produtos Alimentares e Máquinas, SA,",Porto,12-9-2024,Serviços Técnicos
Ajudante cozinha  e  Empregado/a snack,DUVALIA,Porto,12-9-2024,Restauração / Bares / Pastelarias
Cozinheiro/a / Ajudante de Cozinha,PROIBIDO DESAFINAR LDA,Porto,12-9-2024,Restauração / Bares / Pastelarias
Italian-speaking Business Travel Consultants based in Portugal,Navan Portugal,( Todas as Zonas ),12-9-2024,Hotelaria / Turismo
Recepcionista/Administrativa - Paço de Arcos,PIN - Partners in Neuroscience,Lisboa,12-9-2024,Administração / Secretariado
Gerente de restaurante,"Exclusivevanilla, S.A",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Engenheiro/a  Departamento Orçamentação,Gasfomento S.A.,Lisboa,12-9-2024,Engenharia ( Mecanica )
Contabilista - Caldas da Rainha,Numeric Consulting Group,Leiria,12-9-2024,Contabilidade / Finanças
Sub Chef de Cozinha,CONTRA,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Chefe de Equipa (M/F),Gasfomento S.A.,Lisboa,12-9-2024,Construção Civil
Gestor/a de  Operações (F/M) -Porto - Indicar REFª GO_PORTO,Feels Like Home,Porto,12-9-2024,Hotelaria / Turismo
CityGym Viseu procura Instrutor de Sala de Musculação,REBELPYRAMID LDA,Viseu,12-9-2024,Desporto / Ginásios
Vendas e/ou Montagens - Mobiliário e Decoração,"All House Coimbra Almc, Lda",Coimbra,12-9-2024,Lojas / Comércio / Balcão
Vendedora de Loja M/F - Maia - Matosinhos - Gondomar - VN Gaia,Ortopedia Portugal | A Poltrona - C.E.O. Unip. Lda,Porto,12-9-2024,Lojas / Comércio / Balcão
Designer de Interiores,Augusto Moreira lda,Porto,12-9-2024,Arquitectura / Design
"Vendedora de Quiosque, La Empanada - Alegro Alfragide e Alegro Sintra",La Empanada,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Responsável Comercial - Viseu,Mypeople unipessoal lda,Lisboa,12-9-2024,Banca / Seguros / Serviços Financeiros
Educadora de Infância,Os Pequenos Marqueses,Lisboa,12-9-2024,Educação / Formação
Apoio operacional Oficina Automóvel  - Vila do Conde,Confiauto - SA,Porto,12-9-2024,Conservação / Manutenção / Técnica
